model,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision,protocol,variant,project
xgboost,0.0,0.6451612903225806,0.7361963190184049,0.6876790830945558,0.92,4448,163,0.03664568345323741,0.9557451804339577,0.7476627898107445,mixed_project,all,
xgboost,1.0,0.6467391304347826,0.7345679012345679,0.6878612716763006,1.0,4447,162,0.036429053294355744,0.9644957287119869,0.7864421231770419,mixed_project,all,
xgboost,2.0,0.6593406593406593,0.7407407407407407,0.6976744186046512,1.0,4447,162,0.036429053294355744,0.9763372084647852,0.798116812615233,mixed_project,all,
xgboost,3.0,0.6176470588235294,0.7777777777777778,0.6885245901639344,0.98,4447,162,0.036429053294355744,0.9652765172796289,0.7846386799952622,mixed_project,all,
xgboost,4.0,0.6153846153846154,0.7407407407407407,0.6722689075630253,1.0,4447,162,0.036429053294355744,0.9540544823314174,0.7643173124268121,mixed_project,all,
xgboost,,0.0,0.0,0.0,0.0,1317,4,0.0030372057706909645,0.7490479817212491,0.007840126765328087,cross_project,all,achilles
xgboost,,0.009244992295839754,0.1875,0.01762114537444934,0.0,2044,32,0.015655577299412915,0.41827162027833,0.01297834143047976,cross_project,all,activiti
xgboost,,1.0,0.13793103448275862,0.24242424242424243,1.0,187,116,0.6203208556149733,0.9519184069936862,0.9694365510266546,cross_project,all,alluxio
xgboost,,0.4069767441860465,0.6730769230769231,0.5072463768115942,0.3,324,52,0.16049382716049382,0.8327205882352942,0.3841807866190595,cross_project,all,ambari
xgboost,,0.0,0.0,0.0,0.0,6261,1,0.00015971889474524837,0.31549520766773165,0.0002333177788147457,cross_project,all,assertj-core
xgboost,,0.0,0.0,0.0,0.02,55,1,0.01818181818181818,0.9074074074074074,0.16666666666666666,cross_project,all,commons-exec
xgboost,,0.0,0.0,0.0,0.02,558,3,0.005376344086021506,0.8816816816816817,0.029739010989010987,cross_project,all,elastic-job-lite
xgboost,,0.0,0.0,0.0,0.0,427,1,0.00234192037470726,0.551643192488263,0.005208333333333333,cross_project,all,handlebars.java
xgboost,,0.625,0.06896551724137931,0.12422360248447205,0.64,431,145,0.33642691415313225,0.6942367976850736,0.5331923074575589,cross_project,all,hbase
xgboost,,0.5,0.030303030303030304,0.05714285714285714,0.3,142,33,0.2323943661971831,0.6363636363636364,0.31235070541723575,cross_project,all,hector
xgboost,,0.0,0.0,0.0,0.04,163,18,0.11042944785276074,0.42279693486590036,0.09862745476160556,cross_project,all,http-request
xgboost,,0.14285714285714285,0.13636363636363635,0.13953488372093023,0.22,712,22,0.03089887640449438,0.8976943346508566,0.21204071554098927,cross_project,all,httpcore
xgboost,,0.11764705882352941,0.3157894736842105,0.17142857142857143,0.12,2176,19,0.008731617647058824,0.7882048654320084,0.13818311543909603,cross_project,all,incubator-dubbo
xgboost,,0.0,0.0,0.0,0.26,145,23,0.15862068965517243,0.7255880256593015,0.25484415089103246,cross_project,all,java-websocket
xgboost,,0.0,0.0,0.0,0.0,212,0,0.0,,,cross_project,all,jimfs
xgboost,,0.0,0.0,0.0,0.04,843,22,0.02609727164887307,0.6636031447237294,0.04445753120564254,cross_project,all,logback
xgboost,,0.0,0.0,0.0,0.02,307,1,0.003257328990228013,0.9248366013071895,0.041666666666666664,cross_project,all,ninja
xgboost,,0.2,0.01,0.01904761904761905,0.12,810,100,0.12345679012345678,0.5182042253521126,0.1375129490660929,cross_project,all,okhttp
