model,project,precision,recall,f1,p_at_50,n,n_flaky,roc_auc,avg_precision
majority,achilles,0.0,0.0,0.0,0.0,1317,4,0.5,0.0030372057706909645
majority,activiti,0.0,0.0,0.0,0.0,2044,32,0.5,0.015655577299412915
majority,alluxio,0.0,0.0,0.0,0.06,187,116,0.5,0.6203208556149733
majority,ambari,0.0,0.0,0.0,0.0,324,52,0.5,0.16049382716049382
majority,assertj-core,0.0,0.0,0.0,0.0,6261,1,0.5,0.00015971889474524837
majority,commons-exec,0.0,0.0,0.0,0.02,55,1,0.5,0.01818181818181818
majority,elastic-job-lite,0.0,0.0,0.0,0.0,558,3,0.5,0.005376344086021506
majority,handlebars.java,0.0,0.0,0.0,0.0,427,1,0.5,0.00234192037470726
majority,hbase,0.0,0.0,0.0,0.4,431,145,0.5,0.33642691415313225
majority,hector,0.0,0.0,0.0,0.3,142,33,0.5,0.2323943661971831
majority,http-request,0.0,0.0,0.0,0.02,163,18,0.5,0.11042944785276074
majority,httpcore,0.0,0.0,0.0,0.3,712,22,0.5,0.03089887640449438
majority,incubator-dubbo,0.0,0.0,0.0,0.02,2176,19,0.5,0.008731617647058824
majority,java-websocket,0.0,0.0,0.0,0.04,145,23,0.5,0.15862068965517243
majority,jimfs,0.0,0.0,0.0,0.0,212,0,,
majority,logback,0.0,0.0,0.0,0.02,843,22,0.5,0.02609727164887307
majority,ninja,0.0,0.0,0.0,0.0,307,1,0.5,0.003257328990228013
majority,okhttp,0.0,0.0,0.0,0.16,810,100,0.5,0.12345679012345678
majority,orbit,0.0,0.0,0.0,0.1,86,7,0.5,0.08139534883720931
majority,spring-boot,0.0,0.0,0.0,0.0,2127,163,0.5,0.076633756464504
majority,undertow,0.0,0.0,0.0,0.08,183,7,0.5,0.03825136612021858
majority,wildfly,0.0,0.0,0.0,0.0,1236,23,0.5,0.0186084142394822
majority,wro4j,0.0,0.0,0.0,0.04,1145,16,0.5,0.013973799126637555
majority,zxing,0.0,0.0,0.0,0.0,345,2,0.5,0.005797101449275362
logreg,achilles,0.005357142857142857,0.75,0.010638297872340425,0.0,1317,4,0.7600913937547601,0.009839389505320185
logreg,activiti,0.016498137307078234,0.96875,0.032443746729461015,0.1,2044,32,0.7453715208747514,0.06646333385930721
logreg,alluxio,0.43478260869565216,0.08620689655172414,0.14388489208633093,0.58,187,116,0.2872753763963089,0.5574095637094465
logreg,ambari,0.16352201257861634,1.0,0.2810810810810811,0.32,324,52,0.7820984162895928,0.3088387571638713
logreg,assertj-core,0.0,0.0,0.0,0.0,6261,1,0.31693290734824286,0.00023380874444704232
logreg,commons-exec,0.07692307692307693,1.0,0.14285714285714285,0.02,55,1,0.9074074074074074,0.16666666666666666
logreg,elastic-job-lite,0.0,0.0,0.0,0.04,558,3,0.7885885885885886,0.046845681829707386
logreg,handlebars.java,0.0,0.0,0.0,0.0,427,1,0.8732394366197183,0.01818181818181818
logreg,hbase,0.5510204081632653,0.7448275862068966,0.6334310850439883,0.86,431,145,0.7887870749939715,0.6986053151425945
logreg,hector,0.1875,0.18181818181818182,0.18461538461538463,0.18,142,33,0.47345009730330834,0.2657663986910041
logreg,http-request,0.15789473684210525,0.8333333333333334,0.26548672566371684,0.28,163,18,0.7894636015325671,0.43191282425388133
logreg,httpcore,0.14444444444444443,0.5909090909090909,0.23214285714285715,0.2,712,22,0.7988801054018446,0.14309595027703317
logreg,incubator-dubbo,0.03162055335968379,0.42105263157894735,0.058823529411764705,0.12,2176,19,0.6226728155576703,0.07207865684596965
logreg,java-websocket,0.3108108108108108,1.0,0.4742268041237113,0.3,145,23,0.7494654312188168,0.29739308838182743
logreg,jimfs,0.0,0.0,0.0,0.0,212,0,,
logreg,logback,0.104,0.5909090909090909,0.17687074829931973,0.14,843,22,0.6728490754069316,0.1269689157171327
logreg,ninja,0.012048192771084338,1.0,0.023809523809523808,0.0,307,1,0.8366013071895425,0.0196078431372549
logreg,okhttp,0.034482758620689655,0.03,0.03208556149732621,0.02,810,100,0.3412183098591549,0.09736092918625071
logreg,orbit,0.08771929824561403,0.7142857142857143,0.15625,0.1,86,7,0.6274864376130199,0.1407571541294126
logreg,spring-boot,0.08089887640449438,0.22085889570552147,0.11842105263157894,0.06,2127,163,0.519876176077368,0.07955843471236868
logreg,undertow,0.030612244897959183,0.42857142857142855,0.05714285714285714,0.04,183,7,0.5454545454545454,0.05646830576399545
logreg,wildfly,0.040625,0.5652173913043478,0.07580174927113703,0.0,1236,23,0.6623176457937561,0.04353389392976081
logreg,wro4j,0.018838304552590265,0.75,0.036753445635528334,0.1,1145,16,0.7351085031000886,0.08292371479580986
logreg,zxing,0.009708737864077669,0.5,0.01904761904761905,0.0,345,2,0.38775510204081637,0.008095975232198143
random_forest,achilles,0.0,0.0,0.0,0.0,1317,4,0.7194402132520944,0.006651506367779475
random_forest,activiti,0.0,0.0,0.0,0.02,2044,32,0.6883464835984094,0.03303061769605022
random_forest,alluxio,1.0,0.04310344827586207,0.08264462809917356,1.0,187,116,0.997146673142302,0.9981532310541363
random_forest,ambari,0.3448275862068966,0.38461538461538464,0.36363636363636365,0.32,324,52,0.8425127262443439,0.4058030315751675
random_forest,assertj-core,0.0,0.0,0.0,0.0,6261,1,0.28091054313099045,0.00021150592216582064
random_forest,commons-exec,0.0,0.0,0.0,0.02,55,1,0.9444444444444444,0.25
random_forest,elastic-job-lite,0.0,0.0,0.0,0.04,558,3,0.8858858858858859,0.03240588709436666
random_forest,handlebars.java,0.0,0.0,0.0,0.0,427,1,0.5352112676056338,0.0049504950495049506
random_forest,hbase,0.6666666666666666,0.013793103448275862,0.02702702702702703,0.76,431,145,0.7853508560405111,0.6415721917439193
random_forest,hector,0.0,0.0,0.0,0.48,142,33,0.8306922435362802,0.4975904517318512
random_forest,http-request,0.0,0.0,0.0,0.08,163,18,0.42950191570881224,0.0965838800514901
random_forest,httpcore,0.0,0.0,0.0,0.32,712,22,0.9287220026350462,0.3006778307091831
random_forest,incubator-dubbo,0.25,0.05263157894736842,0.08695652173913043,0.12,2176,19,0.7938047483102748,0.06581549774860602
random_forest,java-websocket,0.0,0.0,0.0,0.4,145,23,0.8166429080541696,0.37895152457509435
random_forest,jimfs,0.0,0.0,0.0,0.0,212,0,,
random_forest,logback,0.0,0.0,0.0,0.04,843,22,0.7264976193112611,0.05185842606831777
random_forest,ninja,0.0,0.0,0.0,0.02,307,1,0.9705882352941176,0.1
