project,tests,flaky,flaky_rate
achilles,1317,4,0.003
activiti,2044,32,0.0157
alluxio,187,116,0.6203
ambari,324,52,0.1605
assertj-core,6261,1,0.0002
commons-exec,55,1,0.0182
elastic-job-lite,558,3,0.0054
handlebars.java,427,1,0.0023
hbase,431,145,0.3364
hector,142,33,0.2324
http-request,163,18,0.1104
httpcore,712,22,0.0309
incubator-dubbo,2176,19,0.0087
java-websocket,145,23,0.1586
jimfs,212,0,0.0
logback,843,22,0.0261
ninja,307,1,0.0033
okhttp,810,100,0.1235
orbit,86,7,0.0814
spring-boot,2127,163,0.0766
undertow,183,7,0.0383
wildfly,1236,23,0.0186
wro4j,1145,16,0.014
zxing,345,2,0.0058
TOTAL,22236,811,0.0365
