project,all,static_only,delta_static_minus_all
achilles,0.0,0.017,0.017
activiti,0.018,0.059,0.042
alluxio,0.242,0.275,0.033
ambari,0.507,0.346,-0.161
assertj-core,0.0,0.0,0.0
commons-exec,0.0,0.0,0.0
elastic-job-lite,0.0,0.0,0.0
handlebars.java,0.0,0.0,0.0
hbase,0.124,0.245,0.121
hector,0.057,0.375,0.318
http-request,0.0,0.0,0.0
httpcore,0.14,0.119,-0.02
incubator-dubbo,0.171,0.016,-0.155
java-websocket,0.0,0.08,0.08
jimfs,0.0,0.0,0.0
logback,0.0,0.124,0.124
ninja,0.0,0.032,0.032
okhttp,0.019,0.096,0.077
orbit,0.0,0.258,0.258
spring-boot,0.012,0.046,0.034
undertow,0.16,0.08,-0.08
wildfly,0.075,0.029,-0.046
wro4j,0.038,0.039,0.001
zxing,0.0,0.019,0.019
