project,n,n_flaky,flaky_rate,logreg_f1,majority_f1,random_forest_f1,vocab_xgboost_f1,xgboost_f1,logreg_precision,majority_precision,random_forest_precision,vocab_xgboost_precision,xgboost_precision,logreg_recall,majority_recall,random_forest_recall,vocab_xgboost_recall,xgboost_recall
alluxio,187,116,0.6203,0.144,0.0,0.083,0.28,0.242,0.435,0.0,1.0,0.618,1.0,0.086,0.0,0.043,0.181,0.138
hbase,431,145,0.3364,0.633,0.0,0.027,0.303,0.124,0.551,0.0,0.667,0.374,0.625,0.745,0.0,0.014,0.255,0.069
hector,142,33,0.2324,0.185,0.0,0.0,0.108,0.057,0.188,0.0,0.0,0.5,0.5,0.182,0.0,0.0,0.061,0.03
ambari,324,52,0.1605,0.281,0.0,0.364,0.176,0.507,0.164,0.0,0.345,0.375,0.407,1.0,0.0,0.385,0.115,0.673
java-websocket,145,23,0.1586,0.474,0.0,0.0,0.93,0.0,0.311,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.87,0.0
okhttp,810,100,0.1235,0.032,0.0,0.0,0.126,0.019,0.034,0.0,0.0,0.296,0.2,0.03,0.0,0.0,0.08,0.01
http-request,163,18,0.1104,0.265,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.0
orbit,86,7,0.0814,0.156,0.0,0.0,0.273,0.0,0.088,0.0,0.0,0.162,0.0,0.714,0.0,0.0,0.857,0.0
spring-boot,2127,163,0.0766,0.118,0.0,0.0,0.033,0.012,0.081,0.0,0.0,0.047,0.012,0.221,0.0,0.0,0.025,0.012
undertow,183,7,0.0383,0.057,0.0,0.167,0.0,0.16,0.031,0.0,0.2,0.0,0.111,0.429,0.0,0.143,0.0,0.286
httpcore,712,22,0.0309,0.232,0.0,0.0,0.0,0.14,0.144,0.0,0.0,0.0,0.143,0.591,0.0,0.0,0.0,0.136
logback,843,22,0.0261,0.177,0.0,0.0,0.095,0.0,0.104,0.0,0.0,0.073,0.0,0.591,0.0,0.0,0.136,0.0
wildfly,1236,23,0.0186,0.076,0.0,0.0,0.0,0.075,0.041,0.0,0.0,0.0,0.053,0.565,0.0,0.0,0.0,0.13
commons-exec,55,1,0.0182,0.143,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
activiti,2044,32,0.0157,0.032,0.0,0.0,0.088,0.018,0.016,0.0,0.0,0.048,0.009,0.969,0.0,0.0,0.5,0.188
wro4j,1145,16,0.014,0.037,0.0,0.042,0.0,0.038,0.019,0.0,0.031,0.0,0.022,0.75,0.0,0.062,0.0,0.125
incubator-dubbo,2176,19,0.0087,0.059,0.0,0.087,0.136,0.171,0.032,0.0,0.25,0.1,0.118,0.421,0.0,0.053,0.211,0.316
zxing,345,2,0.0058,0.019,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
elastic-job-lite,558,3,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ninja,307,1,0.0033,0.024,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
achilles,1317,4,0.003,0.011,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
handlebars.java,427,1,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assertj-core,6261,1,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jimfs,212,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
