model,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision
majority,0,0.0,0.0,0.0,0.04,2497,156,0.062474969963956746,0.5,0.062474969963956746
majority,1,0.0,0.0,0.0,0.06,2497,157,0.06287545054064878,0.5,0.06287545054064878
majority,2,0.0,0.0,0.0,0.02,2497,157,0.06287545054064878,0.5,0.06287545054064878
majority,3,0.0,0.0,0.0,0.02,2497,157,0.06287545054064878,0.5,0.06287545054064878
majority,4,0.0,0.0,0.0,0.0,2497,157,0.06287545054064878,0.5,0.06287545054064878
logreg,0,0.1746880570409982,0.6282051282051282,0.2733612273361227,0.5,2497,156,0.062474969963956746,0.8005632591813711,0.29986095190958717
logreg,1,0.1686746987951807,0.6242038216560509,0.26558265582655827,0.64,2497,157,0.06287545054064878,0.8072486254014916,0.3257704423460488
logreg,2,0.16226415094339622,0.5477707006369427,0.25036390101892286,0.48,2497,157,0.06287545054064878,0.7303010506832164,0.26292288364923366
logreg,3,0.15579710144927536,0.5477707006369427,0.24259520451339917,0.44,2497,157,0.06287545054064878,0.7736893679568839,0.24728870262141875
logreg,4,0.1793372319688109,0.5859872611464968,0.2746268656716418,0.64,2497,157,0.06287545054064878,0.7686019924873428,0.30581235871749674
random_forest,0,0.8055555555555556,0.7435897435897436,0.7733333333333333,1.0,2497,156,0.062474969963956746,0.9590589710730675,0.8221260873983123
random_forest,1,0.7972972972972973,0.7515923566878981,0.7737704918032787,1.0,2497,157,0.06287545054064878,0.9686360172028962,0.8466128794258702
random_forest,2,0.7608695652173914,0.6687898089171974,0.711864406779661,0.92,2497,157,0.06287545054064878,0.9542258696717295,0.7628601525335904
random_forest,3,0.7865853658536586,0.821656050955414,0.8037383177570093,1.0,2497,157,0.06287545054064878,0.9677268768033099,0.8536216019563447
random_forest,4,0.7753623188405797,0.6815286624203821,0.7254237288135593,0.94,2497,157,0.06287545054064878,0.9547852359954271,0.7605725602087914
xgboost,0,0.688622754491018,0.7371794871794872,0.7120743034055728,1.0,2497,156,0.062474969963956746,0.9579335480125741,0.8083206103033034
xgboost,1,0.702247191011236,0.7961783439490446,0.746268656716418,1.0,2497,157,0.06287545054064878,0.9672410038652076,0.837537559170005
xgboost,2,0.6862745098039216,0.6687898089171974,0.6774193548387096,0.98,2497,157,0.06287545054064878,0.9363873918014046,0.7565291188656079
xgboost,3,0.7021276595744681,0.8407643312101911,0.7652173913043478,0.98,2497,157,0.06287545054064878,0.9674288202950623,0.850207872755542
xgboost,4,0.6746987951807228,0.7133757961783439,0.6934984520123839,1.0,2497,157,0.06287545054064878,0.9489139310795361,0.7646691817487672
