model,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision
majority,0,0.0,0.0,0.0,0.0,4448,163,0.03664568345323741,0.5,0.03664568345323741
majority,1,0.0,0.0,0.0,0.0,4447,162,0.036429053294355744,0.5,0.036429053294355744
majority,2,0.0,0.0,0.0,0.0,4447,162,0.036429053294355744,0.5,0.036429053294355744
majority,3,0.0,0.0,0.0,0.0,4447,162,0.036429053294355744,0.5,0.036429053294355744
majority,4,0.0,0.0,0.0,0.0,4447,162,0.036429053294355744,0.5,0.036429053294355744
logreg,0,0.1215909090909091,0.656441717791411,0.20517737296260785,0.26,4448,163,0.03664568345323741,0.8266516812106722,0.17123726437418063
logreg,1,0.10314875135722042,0.5864197530864198,0.17543859649122806,0.34,4447,162,0.036429053294355744,0.8066064508693835,0.17919314350380297
logreg,2,0.11666666666666667,0.6481481481481481,0.1977401129943503,0.26,4447,162,0.036429053294355744,0.8259835486984455,0.17913980170199428
logreg,3,0.10862619808306709,0.6296296296296297,0.18528610354223432,0.42,4447,162,0.036429053294355744,0.8160623478398663,0.21622441169244525
logreg,4,0.10080183276059565,0.5432098765432098,0.17004830917874397,0.5,4447,162,0.036429053294355744,0.804219427517755,0.20874962135703193
random_forest,0,0.8029197080291971,0.6748466257668712,0.7333333333333333,0.94,4448,163,0.03664568345323741,0.9730719946166897,0.7693843621394634
random_forest,1,0.8129496402877698,0.6975308641975309,0.7508305647840532,1.0,4447,162,0.036429053294355744,0.9670332915568232,0.807628660878956
random_forest,2,0.7972027972027972,0.7037037037037037,0.7475409836065574,0.92,4447,162,0.036429053294355744,0.9764913493812755,0.7764808062368709
random_forest,3,0.7517241379310344,0.6728395061728395,0.7100977198697068,0.98,4447,162,0.036429053294355744,0.972339628621231,0.7992511388371346
random_forest,4,0.7402597402597403,0.7037037037037037,0.7215189873417721,0.96,4447,162,0.036429053294355744,0.9635139807251826,0.7619930991155138
xgboost,0,0.6451612903225806,0.7361963190184049,0.6876790830945558,0.92,4448,163,0.03664568345323741,0.9557451804339577,0.7476627898107445
xgboost,1,0.6467391304347826,0.7345679012345679,0.6878612716763006,1.0,4447,162,0.036429053294355744,0.9644957287119869,0.7864421231770419
xgboost,2,0.6593406593406593,0.7407407407407407,0.6976744186046512,1.0,4447,162,0.036429053294355744,0.9763372084647852,0.798116812615233
xgboost,3,0.6176470588235294,0.7777777777777778,0.6885245901639344,0.98,4447,162,0.036429053294355744,0.9652765172796289,0.7846386799952622
xgboost,4,0.6153846153846154,0.7407407407407407,0.6722689075630253,1.0,4447,162,0.036429053294355744,0.9540544823314174,0.7643173124268121
vocab_xgboost,0,0.5427350427350427,0.7839506172839507,0.6414141414141414,1.0,4390,162,0.03690205011389522,0.9626702348832591,0.7592874782502794
vocab_xgboost,1,0.5042016806722689,0.7407407407407407,0.6,0.98,4389,162,0.03691045796308954,0.9551019752502286,0.7084554170645707
vocab_xgboost,2,0.5271317829457365,0.8395061728395061,0.6476190476190476,1.0,4389,162,0.03691045796308954,0.9670730781250457,0.7738409952092163
vocab_xgboost,3,0.5871559633027523,0.7950310559006211,0.6754617414248021,1.0,4389,161,0.03668261562998405,0.9706731814522527,0.7828629145158298
vocab_xgboost,4,0.5211864406779662,0.7639751552795031,0.6196473551637279,0.96,4389,161,0.03668261562998405,0.962844567714791,0.7253153035170496
