,mean_abs_shap
ExecutionTime,1.5958459
projectSourceLinesCovered,0.769351
projectSourceClassesCovered,0.7265537
hIndexModificationsPerCoveredLine_window100,0.6204547
testLength,0.52610683
numCoveredLines,0.43512642
hIndexModificationsPerCoveredLine_window10,0.3085598
num_third_party_libs,0.29327866
numAsserts,0.29101703
hIndexModificationsPerCoveredLine_window500,0.2906213
hIndexModificationsPerCoveredLine_window50,0.28918004
hIndexModificationsPerCoveredLine_window10000,0.23701553
fire-and-forget,0.2129763
indirect-testing,0.18508771
hIndexModificationsPerCoveredLine_window75,0.16883157
hIndexModificationsPerCoveredLine_window25,0.16331007
hIndexModificationsPerCoveredLine_window5,0.13216987
test-run-war,0.09389152
mystery-guest,0.09152963
assertion-roulette,0.08338389
resource-optimism,0.05934681
eager-test,0.029487703
conditional-test-logic,0.012604029
