model,project,precision,recall,f1,roc_auc
logreg,activiti,0.036,0.6,0.068,0.765
logreg,alluxio,1.0,1.0,1.0,1.0
logreg,ambari,0.759,0.925,0.824,0.952
logreg,hbase,0.797,0.821,0.807,0.903
logreg,hector,0.671,0.852,0.735,0.939
logreg,http-request,0.405,0.85,0.548,0.925
logreg,httpcore,0.319,0.87,0.461,0.96
logreg,incubator-dubbo,0.081,0.683,0.144,0.841
logreg,java-websocket,0.522,0.91,0.653,0.966
logreg,logback,0.058,0.39,0.1,0.579
logreg,okhttp,0.212,0.69,0.324,0.716
logreg,spring-boot,0.404,0.921,0.559,0.945
logreg,wildfly,0.097,0.69,0.169,0.877
logreg,wro4j,0.041,0.45,0.074,0.668
majority,activiti,0.0,0.0,0.0,0.5
majority,alluxio,0.62,1.0,0.766,0.5
majority,ambari,0.0,0.0,0.0,0.5
majority,hbase,0.0,0.0,0.0,0.5
majority,hector,0.0,0.0,0.0,0.5
majority,http-request,0.0,0.0,0.0,0.5
majority,httpcore,0.0,0.0,0.0,0.5
majority,incubator-dubbo,0.0,0.0,0.0,0.5
majority,java-websocket,0.0,0.0,0.0,0.5
majority,logback,0.0,0.0,0.0,0.5
majority,okhttp,0.0,0.0,0.0,0.5
majority,spring-boot,0.0,0.0,0.0,0.5
majority,wildfly,0.0,0.0,0.0,0.5
majority,wro4j,0.0,0.0,0.0,0.5
random_forest,activiti,0.2,0.095,0.129,0.863
random_forest,alluxio,1.0,1.0,1.0,1.0
random_forest,ambari,0.897,0.925,0.908,0.988
random_forest,hbase,0.853,0.952,0.899,0.958
random_forest,hector,0.792,0.848,0.813,0.95
random_forest,http-request,0.787,0.833,0.784,0.96
random_forest,httpcore,0.439,0.65,0.516,0.972
random_forest,incubator-dubbo,0.7,0.333,0.44,0.937
random_forest,java-websocket,0.773,0.82,0.788,0.951
random_forest,logback,0.417,0.18,0.233,0.725
random_forest,okhttp,0.363,0.39,0.371,0.777
random_forest,spring-boot,0.941,0.866,0.899,0.988
random_forest,wildfly,0.848,0.52,0.599,0.981
random_forest,wro4j,0.2,0.133,0.16,0.956
xgboost,activiti,0.217,0.129,0.16,0.808
xgboost,alluxio,1.0,0.991,0.996,1.0
xgboost,ambari,0.967,0.944,0.952,0.994
xgboost,hbase,0.856,0.931,0.891,0.95
xgboost,hector,0.802,0.814,0.802,0.943
xgboost,http-request,0.733,0.667,0.685,0.925
xgboost,httpcore,0.432,0.46,0.428,0.946
xgboost,incubator-dubbo,0.44,0.333,0.368,0.918
xgboost,java-websocket,0.735,0.82,0.762,0.987
xgboost,logback,0.383,0.18,0.232,0.605
xgboost,okhttp,0.328,0.34,0.328,0.747
xgboost,spring-boot,0.909,0.884,0.894,0.988
xgboost,wildfly,0.55,0.52,0.53,0.945
xgboost,wro4j,0.413,0.3,0.314,0.932
