model,project,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision
majority,activiti,0,0.0,0.0,0.0,0.08,409,6,0.014669926650366748,0.5,0.014669926650366748
majority,activiti,1,0.0,0.0,0.0,0.02,409,6,0.014669926650366748,0.5,0.014669926650366748
majority,activiti,2,0.0,0.0,0.0,0.0,409,7,0.017114914425427872,0.5,0.017114914425427872
majority,activiti,3,0.0,0.0,0.0,0.08,409,7,0.017114914425427872,0.5,0.017114914425427872
majority,activiti,4,0.0,0.0,0.0,0.02,408,6,0.014705882352941176,0.5,0.014705882352941176
majority,alluxio,0,0.6052631578947368,1.0,0.7540983606557377,0.6052631578947368,38,23,0.6052631578947368,0.5,0.6052631578947368
majority,alluxio,1,0.631578947368421,1.0,0.7741935483870968,0.631578947368421,38,24,0.631578947368421,0.5,0.631578947368421
majority,alluxio,2,0.6216216216216216,1.0,0.7666666666666667,0.6216216216216216,37,23,0.6216216216216216,0.5,0.6216216216216216
majority,alluxio,3,0.6216216216216216,1.0,0.7666666666666667,0.6216216216216216,37,23,0.6216216216216216,0.5,0.6216216216216216
majority,alluxio,4,0.6216216216216216,1.0,0.7666666666666667,0.6216216216216216,37,23,0.6216216216216216,0.5,0.6216216216216216
majority,ambari,0,0.0,0.0,0.0,0.02,65,10,0.15384615384615385,0.5,0.15384615384615385
majority,ambari,1,0.0,0.0,0.0,0.08,65,10,0.15384615384615385,0.5,0.15384615384615385
majority,ambari,2,0.0,0.0,0.0,0.12,65,11,0.16923076923076924,0.5,0.16923076923076924
majority,ambari,3,0.0,0.0,0.0,0.06,65,11,0.16923076923076924,0.5,0.16923076923076924
majority,ambari,4,0.0,0.0,0.0,0.0,64,10,0.15625,0.5,0.15625
majority,hbase,0,0.0,0.0,0.0,0.26,87,29,0.3333333333333333,0.5,0.3333333333333333
majority,hbase,1,0.0,0.0,0.0,0.4,86,29,0.3372093023255814,0.5,0.3372093023255814
majority,hbase,2,0.0,0.0,0.0,0.32,86,29,0.3372093023255814,0.5,0.3372093023255814
majority,hbase,3,0.0,0.0,0.0,0.42,86,29,0.3372093023255814,0.5,0.3372093023255814
majority,hbase,4,0.0,0.0,0.0,0.42,86,29,0.3372093023255814,0.5,0.3372093023255814
majority,hector,0,0.0,0.0,0.0,0.2413793103448276,29,7,0.2413793103448276,0.5,0.2413793103448276
majority,hector,1,0.0,0.0,0.0,0.2413793103448276,29,7,0.2413793103448276,0.5,0.2413793103448276
majority,hector,2,0.0,0.0,0.0,0.21428571428571427,28,6,0.21428571428571427,0.5,0.21428571428571427
majority,hector,3,0.0,0.0,0.0,0.21428571428571427,28,6,0.21428571428571427,0.5,0.21428571428571427
majority,hector,4,0.0,0.0,0.0,0.25,28,7,0.25,0.5,0.25
